City,Temperature,Latitude,Longitude
"""Mobile, AL""",44,31.2,88.5
"""Phoenix, AZ""",35,33.6,112.5
"""Los Angeles, CA""",47,34.3,118.7
"""San Francisco, CA """,42,38.4,123
"""Denver, CO""",15,40.7,105.3
"""Washington, DC""",30,39.7,77.5
"""Miami, FL""",58,26.3,80.7
"""Atlanta, GA""",37,33.9,85
"""Boise, ID""",22,43.7,117.1
"""Chicago, IL""",19,42.3,88
"""Indianapolis, IN""",21,39.8,86.9
"""Louisville, KY""",27,39,86.5
"""New Orleans, LA""",45,30.8,90.2
"""Portland, ME""",12,44.2,70.5
"""Baltimore, MD""",25,39.7,77.3
"""Boston, MA """,23,42.7,71.4
"""Detroit, MI """,21,43.1,83.9
"""Minneapolis, MN""",2,45.9,93.9
"""St. Louis, MO""",24,39.3,90.5
"""Helena, MT""",8,47.1,112.4
"""Omaha, NE""",13,41.9,96.1
"""Albuquerque, NM""",24,35.1,106.7
"""New York, NY""",27,40.8,74.6
"""Charlotte, NC """,34,35.9,81.5
"""Bismarck, ND""",0,47.1,101
"""Cincinnati, OH""",26,39.2,85
"""Cleveland, OH """,21,42.3,82.5
"""Seattle, WA""",33,48.1,122.5
"""Milwaukee, WI""",13,43.3,88.1
"""Cheyenne, WY""",14,41.2,104.9